year,iso,mv,close,weight,weight_float
2021,ESP,727040,0.34896176,0.007532898,0.006186976
1999,FIN,326842,0.161079352,0.009525701,0.010791605
2000,FIN,280247,0.086512031,0.008987174,0.010519366
2001,FIN,183136,0.101480871,0.006773521,0.007774567
2002,FIN,132829,0.143398827,0.005813567,0.006444103
2003,FIN,161377,0.152378742,0.005160149,0.00575129
2004,FIN,173670,0.178218001,0.004679117,0.005071788
2005,FIN,198492,0.176132137,0.004716182,0.005215184
2006,FIN,251851,0.1871013,0.004858595,0.00534758
2007,FIN,341220,0.168284332,0.005449412,0.006479085
2008,FIN,147816,0.191692017,0.004461407,0.005073771
2009,FIN,179998,0.243886907,0.003762907,0.004124873
2010,FIN,201062,0.250077253,0.003652774,0.003987087
2011,FIN,134591,0.285561738,0.00281216,0.00279115
2012,FIN,150906,0.267675989,0.002737161,0.00271036
2013,FIN,202462,0.23493075,0.003132948,0.003157824
2014,FIN,185238,0.218443518,0.00274257,0.002820429
2015,FIN,186329,0.235041673,0.002801485,0.00283835
2016,FIN,199937,0.239036597,0.00289494,0.002905149
2017,FIN,242308,0.252481867,0.002873445,0.002848424
2018,FIN,222839,0.264759091,0.003037891,0.002931147
2019,FIN,275349,0.278339762,0.00315892,0.003059656
2020,FIN,336652,0.267371652,0.003303709,0.003273269
2021,FIN,365686,0.237422076,0.003788891,0.003645072
1999,FRA,1502951.79,0.386952356,0.043803026,0.036263236
2000,FRA,1446634.12,0.398200202,0.046391764,0.035773095
2001,FRA,1174663,0.373782707,0.043446427,0.034754697
2002,FRA,967015.06,0.376540494,0.042323641,0.034145417
2003,FRA,1355925.34,0.359455077,0.04335672,0.036518012
2004,FRA,1559109.68,0.358072979,0.042006434,0.035566573
2005,FRA,1758513.21,0.378792057,0.041782378,0.034837877
2006,FRA,2428251.77,0.375742643,0.046844725,0.039594476
2007,FRA,2740341.21,0.373133139,0.043764279,0.039217892
2008,FRA,1472406.87,0.345539398,0.044440425,0.040920775
2009,FRA,1946185.14,0.352553262,0.040685531,0.038189528
2010,FRA,1911515.39,0.355251621,0.034727264,0.032589463
2011,FRA,1553956.95,0.347860134,0.032468561,0.029415903
2012,FRA,1808188.71,0.332965545,0.032797266,0.029580755
2013,FRA,2301085.21,0.330955884,0.035607571,0.031385647
2014,FRA,2085895.8,0.334962494,0.030883053,0.027024858
2015,FRA,2088317.31,0.341958326,0.031398167,0.027365136
2016,FRA,2159046.595,0.340983765,0.0312614,0.027168745
2017,FRA,2749314.584,0.342782203,0.032603151,0.028415083
2018,FRA,2365950.237,0.363832916,0.032254218,0.026927341
2019,FRA,2749204,0.357086819,0.031540028,0.02721546
2020,FRA,2932621,0.367950811,0.028779056,0.024599351
2021,FRA,3448649,0.381566018,0.035731624,0.027877636
1999,GBR,2954815.47,0.112455264,0.086117107,0.103216207
2000,GBR,2576991.34,0.094266584,0.08264092,0.095908948
2001,GBR,2157320,0.097719431,0.079791264,0.091966854
2002,GBR,1856194.4,0.115731258,0.081240623,0.092960545
2003,GBR,2425822,0.123504024,0.077567461,0.08939858
2004,GBR,2815928.03,0.120102481,0.07586836,0.088050807
2005,GBR,3058182.42,0.116933135,0.072662595,0.086124363
2006,GBR,3781358.5,0.102542983,0.072948243,0.088641832
2007,GBR,3846461.88,0.111129349,0.061429442,0.078055641
2008,GBR,1868152.97,0.095252318,0.056384899,0.071774871
2009,GBR,2796444.32,0.117389955,0.058460432,0.074805087
2010,GBR,3029102,0.123937884,0.055030907,0.070171046
2011,GBR,2932240.87,0.115405969,0.061266588,0.075291526
2012,GBR,3291640.12,0.104597619,0.059704385,0.072284939
2013,GBR,3946884.73,0.107322713,0.061075087,0.071827798
2014,GBR,3570893.5,0.119378404,0.052869416,0.061261963
2015,GBR,3246356,0.134615535,0.048809454,0.055943929
2016,GBR,2961436,0.124197085,0.042879406,0.04952451
2017,GBR,3594239,0.119480418,0.042622811,0.049769257
2018,GBR,2915681,0.12498,0.039748516,0.045643049
2019,GBR,3345478,0.110506527,0.038380735,0.045820236
2020,GBR,3211492,0.127829739,0.031515735,0.037172772
2021,GBR,3539190,0.116880959,0.036669724,0.040854202
1999,GRC,109554,0.392232394,0.003192915,0.002620554
2000,GRC,71622,0.527631749,0.002296829,0.001390186
2001,GRC,84752.03,0.516947876,0.003134663,0.00193428
2002,GRC,67061.46,0.566025431,0.002935099,0.001648269
2003,GRC,106643.67,0.497287388,0.003410011,0.002254118
2004,GRC,125241.63,0.421612781,0.003374332,0.002574229
2005,GRC,145120.74,0.476719453,0.003448077,0.002421771
2006,GRC,200696.04,0.523066916,0.003871736,0.002500193
2007,GRC,264960.82,0.531592523,0.004231524,0.002833412
2008,GRC,90200,0.517299863,0.002722431,0.001848913
2009,GRC,112632.4,0.506003451,0.002354611,0.001686333
2010,GRC,67586.42,0.545770905,0.00122787,8.12E-04
2011,GRC,33778.89,0.561901817,7.06E-04,4.30E-04
2012,GRC,44876.55,0.55480068,8.14E-04,4.90E-04
2013,GRC,82594.24,0.691925185,0.001278084,5.19E-04
2014,GRC,55154.27,0.57856131,8.17E-04,4.53E-04
